station_id,station_name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,line,division,structure,ada_status,upgrade_year,upgrade_source,capital_program,project_id,contract_number,construction_start_date,construction_end_date,project_cost_millions,contractor,accessibility_features,notes
261,Forest Hills-71 Av,Queens,40.721691,-73.844521,261,G08,E F M R,Queens Blvd,IND,Subway,accessible,,,,,,,,,,,ADA accessible. Terminal for M and R. Exact year unclear. [CONFIDENCE: LOW]
267,Jackson Hts-Roosevelt Av,Queens,40.746644,-73.891338,616,G14,E F M R,Queens Blvd,IND,Subway,accessible,,,,,,,,,,,ADA accessible. Major interchange. Exact year unclear. [CONFIDENCE: LOW]
269,Northern Blvd,Queens,40.752885,-73.906006,269,G16,M R,Queens Blvd,IND,Subway,accessible,2025,"Governor Hochul press release, 2025; MTA press release",2020-2024 MTA Capital Program,,,,,,,elevators,
273,Queens Plaza,Queens,40.748973,-73.937243,273,G21,E F R,Queens Blvd,IND,Subway,accessible,,,,,,,,,,,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
278,Jamaica Center-Parsons/Archer,Queens,40.702147,-73.801109,278,G05,E J Z,Queens - Archer,IND,Subway,accessible,1988,Wikipedia - Archer Avenue lines,1982-1986 MTA Capital Program,,,,1988-12-11,,,"Elevators, accessible platforms","Built accessible from opening. Pre-dates ADA (1990) but designed with accessibility features. All three Archer Avenue stations opened December 11, 1988."
279,Sutphin Blvd-Archer Av-JFK Airport,Queens,40.700486,-73.807969,279,G06,E J Z,Queens - Archer,IND,Subway,accessible,1988,Wikipedia - Archer Avenue lines,1982-1986 MTA Capital Program,,,,1988-12-11,,,"Elevators, accessible platforms","Built accessible from opening. Pre-dates ADA (1990) but designed with accessibility features. All three Archer Avenue stations opened December 11, 1988."
280,Jamaica-Van Wyck,Queens,40.702566,-73.816859,280,G07,E,Queens - Archer,IND,Subway,accessible,1988,Wikipedia - Archer Avenue lines,1982-1986 MTA Capital Program,,,,1988-12-11,,,"Elevators, accessible platforms","Built accessible from opening. Pre-dates ADA (1990) but designed with accessibility features. All three Archer Avenue stations opened December 11, 1988."
281,Court Sq,Queens,40.746554,-73.943832,606,G22,G,Crosstown,IND,Subway,accessible,2023,"Governor Hochul press release, Aug 2023",2020-2024 MTA Capital Program,,,,2023-07,,,elevators,Court Square G station made accessible July 2023.
447,Flushing-Main St,Queens,40.7596,-73.83003,447,701,7,Flushing,IRT,Subway,accessible,2000,"Wikipedia, MTA press release",1995-1999 MTA Capital Program,,,1999,2000,,,"elevators,escalators",Terminal station. Elevator added near Lippmann Plaza exit as part of major renovation 1999-2000.
451,Junction Blvd,Queens,40.749145,-73.869527,451,707,7,Flushing,IRT,Elevated,accessible,,,,,,,,,,,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
454,74 St-Broadway,Queens,40.746848,-73.891394,616,710,7,Flushing,IRT,Elevated,accessible,,,,,,,,,,,ADA accessible. Jackson Heights area. Exact year unclear. [CONFIDENCE: LOW]
456,61 St-Woodside,Queens,40.74563,-73.902984,456,712,7,Flushing,IRT,Elevated,accessible,,,,,,,,,,,ADA accessible. LIRR connection. Exact year unclear. [CONFIDENCE: LOW]
461,Queensboro Plaza,Queens,40.750582,-73.940202,461,R09,N W,Astoria,BMT,Elevated,accessible,2025,"Governor Hochul press release, 2025; Zoning for Accessibility program",2020-2024 MTA Capital Program,,,,,,,elevators,Elevator opened April 2025 as part of Zoning for Accessibility program.
462,Court Sq,Queens,40.747023,-73.945264,606,719,7,Flushing,IRT,Elevated,accessible,,,,,,,,,,,"ADA accessible. Same complex as Court Sq G (ID 281, made accessible 2023). The 7 train platform may have had separate accessibility timeline. Exact year unclear. [CONFIDENCE: LOW]"
