station_id,station_name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,line,division,structure,ada_status,upgrade_year,upgrade_source,capital_program,project_id,contract_number,construction_start_date,construction_end_date,project_cost_millions,contractor,accessibility_features,notes
51,Kings Hwy,Brooklyn,40.60867,-73.957734,51,D35,B Q,Broadway - Brighton,BMT,Open Cut,accessible,2011,Wikipedia (Kings Highway station BMT Brighton Line); MTA TransitTrax records,2005-2009 MTA Capital Program,,,2009,2011,,,elevators,"Station reconstructed 2009-2011. Two elevators installed, one from each platform to the main Kings Highway station house. Platforms rebuilt and station houses rehabilitated during construction. All trains used one express track during the 2009-2011 construction period."
54,Sheepshead Bay,Brooklyn,40.586896,-73.954155,54,D39,B Q,Broadway - Brighton,BMT,Open Cut,accessible,2026,MTA press release: MTA Unveils New Entrance and Accessibility Upgrades at Sheepshead Bay Subway Station; Brooklyn Reporter (February 2026),2020-2024 MTA Capital Program,,,,2026-02-19,,,elevators,"Two new elevators connecting street level to platforms, unveiled February 19, 2026. New entrance with three turnstiles, two exit gates, two new stairs. Widened sidewalks on both sides. ADA push-button door access. Elevators designed floodproof up to 7 feet for storm resilience. New lighting, Help Points, fire prevention, speaker system."
58,Coney Island-Stillwell Av,Brooklyn,40.577422,-73.981233,58,D43,D F N Q,Sea Beach / West End / Culver / Brighton,BMT,Viaduct,accessible,2004,Wikipedia,2000-2004 MTA Capital Program,,,,2004-05-23,,,"elevators,ADA ramps","Complete station reconstruction 2001-2004. Reopened May 23, 2004. ADA-compliant ramps from platforms. Elevator reliability issues noted post-opening."
63,62 St,Brooklyn,40.626472,-73.996895,615,B16,D,West End,BMT,Elevated,accessible,2019,Wikipedia (62nd Street/New Utrecht Avenue station); Brooklyn Reporter (July 2019); MTA press materials,2015-2019 MTA Capital Program,,,2015,2019-07-19,,,elevators,"Part of the 62 St/New Utrecht Av station complex shared by Sea Beach (N) and West End (D) lines. Four ADA-accessible elevators installed, connecting N train platform up to D train platform. Elevators entered service July 19, 2019. The transfer between the two lines was closed during 2015-2019 construction. Station is in Borough Park/Bensonhurst."
68,Bay Pkwy,Brooklyn,40.601875,-73.993728,68,B21,D,West End,BMT,Elevated,accessible,2012,Wikipedia (Bay Parkway station BMT West End Line); MTA press release (August 2012),American Recovery and Reinvestment Act of 2009 (ARRA),,,,2012-08,,,elevators,"Three elevators installed: one from NW corner of 86th St and Bay Parkway to mezzanine, one from mezzanine to each platform. Funded by American Recovery and Reinvestment Act of 2009. Station rehabilitated in 2012 with new lighting, platform edges, stair rehabilitation, control area rehab, and platform windscreens. Designated 78th ADA key station in the subway system. Landmark station restored per State Historic Preservation Office requirements."
71,8 Av,Brooklyn,40.635064,-74.011719,71,N02,N,Sea Beach,BMT,Open Cut,accessible,2023,Governor Hochul press release,2020-2024 MTA Capital Program,,,,2023-07,,,elevators,
73,New Utrecht Av,Brooklyn,40.624842,-73.996353,615,N04,N,Sea Beach,BMT,Open Cut,accessible,2019,Wikipedia (62nd Street/New Utrecht Avenue station); Brooklyn Reporter (July 2019),2015-2019 MTA Capital Program,,,2015,2019-07-19,,,elevators,"Part of the 62 St/New Utrecht Av station complex. The Sea Beach Line (N train) station at New Utrecht Avenue. Four ADA-accessible elevators installed across the complex, entering service July 19, 2019. The elevators connect both the Sea Beach (N) and West End (D) platforms. The transfer between lines was closed during 2015-2019 construction."
98,Flushing Av,Brooklyn,40.70026,-73.941126,98,M12,M J,Jamaica,BMT,Elevated,accessible,2003,"Wikipedia, MTA records",2000-2004 MTA Capital Program,,,,2003,,,elevators,"BMT Jamaica Line (J/M) Flushing Av station, NOT the IND Crosstown (G) station of the same name. Three elevators installed due to proximity to Woodhull Hospital. The G train Flushing Av is a separate station and is NOT ADA accessible."
101,Marcy Av,Brooklyn,40.708359,-73.957757,101,M16,M J Z,Jamaica,BMT,Elevated,accessible,2024,Wikipedia (Marcy Avenue station); MTA accessibility project records,2020-2024 MTA Capital Program,,,2021-12,2024-09-03,,,elevators,"Elevators on NW and SW corners of Broadway and Marcy Ave. Original elevators announced 2002, but exact original installation date undocumented. Elevator replacement contract awarded December 2021, new elevators opened September 3, 2024, achieving full ADA compliance. Using 2024 as the definitive ADA compliance date since the original installation timeline is unclear."
112,Myrtle-Wyckoff Avs,Brooklyn,40.69943,-73.912385,630,M08,M,Myrtle Av,BMT,Elevated,accessible,2007,Wikipedia (Myrtle-Wyckoff Avenues station); MTA capital program records,2000-2004 MTA Capital Program,,,2004,2008,,,elevators,"Station complex renovated 2004-2008. Three elevators put into service fall 2007: one from Canarsie Line (L) to lower mezzanine, one from lower mezzanine to street level and upper mezzanine, one from upper mezzanine to Myrtle Avenue Line (M). Main station building opened April 19, 2007. This entry covers the L train (Canarsie Line) portion of the complex."
120,Bedford Av,Brooklyn,40.717304,-73.956872,120,L08,L,Canarsie,BMT,Subway,accessible,2020,"Greenpointers, MTA press release, Wikipedia",2015-2019 MTA Capital Program,,,,2020-08-06,,,elevators,"Two new ADA elevators (street-mezzanine and mezzanine-platform) opened Aug 6, 2020."
121,Lorimer St,Brooklyn,40.714063,-73.950275,629,L10,L,Canarsie,BMT,Subway,accessible,2023,Governor Hochul press release,2020-2024 MTA Capital Program,,,,,,,elevators,
123,Grand St,Brooklyn,40.711926,-73.94067,123,L12,L,Canarsie,BMT,Subway,accessible,2023,Governor Hochul press release,2020-2024 MTA Capital Program,,,,2023-08-31,,,elevators,First accessible station in East Williamsburg.
128,Myrtle-Wyckoff Avs,Brooklyn,40.699814,-73.911586,630,L17,L,Canarsie,BMT,Subway,accessible,2007,Wikipedia (Myrtle-Wyckoff Avenues station); MTA capital program records,2000-2004 MTA Capital Program,,,2004,2008,,,elevators,"Same physical complex as ID 112. M train (Myrtle Avenue Line) platform. Three elevators put into service fall 2007, connecting L platform, lower mezzanine, street/upper mezzanine, and M platform. Station complex renovated 2004-2008. Main station building opened April 19, 2007."
135,Livonia Av,Brooklyn,40.664038,-73.900571,135,L26,L,Canarsie,BMT,Elevated,accessible,2020,MTA press release: ADA Accessible Elevators at Livonia Av Station Are Now Open,2015-2019 MTA Capital Program,,,,,,,elevators,Two new ADA-compliant elevators installed. Listed in 2015-2019 Capital Program accessibility projects. Elevators opened in 2020.
138,Canarsie-Rockaway Pkwy,Brooklyn,40.646654,-73.90185,138,L29,L,Canarsie,BMT,At Grade,accessible,1987,Wikipedia (Accessibility of the Metropolitan Transportation Authority; Canarsie-Rockaway Parkway station); MTA press release (2020 improvements),,,,,,5.48,,"ramps, ground-level access","Ground-level terminal station. One of only four wheelchair-accessible stations in the subway system before 1988, accessible by virtue of its street-level design. In 2020, MTA completed a three-part project ($5.48M) to enhance accessibility: relocated station agent booths, extended/retrofitted platform boarding areas with warning strips, reduced platform gaps, installed new ADA-compliant ramp, new lighting, signage, and PA system. Using pre-1988 as original accessible date."
139,Franklin Av,Brooklyn,40.680596,-73.955827,627,S01,S,Franklin Shuttle,BMT,Elevated,accessible,1999,"Wikipedia (Franklin Avenue station, Fulton Street; Franklin Avenue Shuttle); MTA records",1995-1999 MTA Capital Program,,,1998,1999-10-18,74,,elevators,"Franklin Avenue Shuttle station completely rebuilt 1998-1999 at cost of $74 million (covers entire shuttle line rebuild). Reopened October 18, 1999. Two elevators installed: one from shuttle platform to overpass/main fare control/southbound IND platform, plus one additional elevator. These elevators make the entire Franklin Av station complex (shuttle + A/C) ADA-accessible."
141,Park Pl,Brooklyn,40.674772,-73.957624,141,S03,S,Franklin Shuttle,BMT,Open Cut,accessible,1999,"Wikipedia (Park Place station, BMT Franklin Avenue Line; Franklin Avenue Shuttle)",1995-1999 MTA Capital Program,,,1998,1999,,,ramps,"Franklin Avenue Shuttle station rebuilt 1998-1999. ADA accessibility achieved via a long ramp from Prospect Place west of Franklin Avenue. Single side platform, single track. The rebuilt station uses a ramp rather than an elevator due to the station's configuration. Part of the $74 million shuttle line reconstruction."
174,Jay St-MetroTech,Brooklyn,40.692338,-73.987342,636,A41,A C F,8th Av - Fulton St,IND,Subway,accessible,2010,"Station renovation completion, Wikipedia",MTA Capital Program,,,,2010-12-10,164.5,,"elevators, escalators",Part of $164.5M Jay St-MetroTech renovation connecting two formerly separate stations into a unified complex. Three ADA-compliant elevators and two escalators installed. Cost is for entire complex shared across station IDs 25 and 174.
178,Franklin Av,Brooklyn,40.68138,-73.956848,627,A45,C,8th Av - Fulton St,IND,Subway,accessible,1999,"Wikipedia (Franklin Avenue station, Fulton Street); MTA records",1995-1999 MTA Capital Program,,,1998,1999-10-18,,,elevators,"ADA accessibility achieved through elevators installed during the 1998-1999 Franklin Avenue Shuttle reconstruction project. Two elevators make the entire station complex ADA-accessible, connecting the shuttle platform, overpass, main fare control area, and the IND Fulton Street Line platforms. Different station ID from Franklin Av Shuttle (ID 139) but same physical complex. Reopened October 18, 1999."
181,Utica Av,Brooklyn,40.679364,-73.930729,181,A48,A C,8th Av - Fulton St,IND,Subway,accessible,2014,MTA press release: Utica Av AC Station Becomes the 82nd Fully ADA Accessible Subway Station; Wikipedia (Utica Avenue station),2010-2014 MTA Capital Program,,,,2014-05,,,elevators,"Three elevators installed May 2014: one near intersection of Utica Ave and Fulton St (mezzanine to street), two connecting platforms to mezzanine. Became the 82nd fully ADA-accessible subway station and 21st in Brooklyn. Additional work included ADA boarding areas with tactile warning strips, signage, customer assistance intercoms, and reconfigured control area."
188,Euclid Av,Brooklyn,40.675377,-73.872106,188,A55,A C,8th Av - Fulton St,IND,Subway,accessible,2006,Wikipedia (Euclid Avenue station IND Fulton Street Line); MTA capital program records,2000-2004 MTA Capital Program,,,2002,2006-03,14.3,Gibraltar Contracting,elevators,"Three elevators: one to the street, two between mezzanine and each platform. $6.9 million contract for elevators awarded to Gibraltar Contracting in 2002. Original completion date April 2005, delayed twice, completed by March 2006. Total project cost increased from $14.1M to $14.3M. Located at intersection of Euclid and Pitkin Avenues in East New York. Elevator on NE corner Euclid Ave and Pitkin Ave. Elevators recently modernized."
240,7 Av,Brooklyn,40.666271,-73.980305,240,F24,F G,6th Av - Culver,IND,Subway,accessible,2023,"MTA press release, Brownstoner",2020-2024 MTA Capital Program,,,,2023-11-21,,,"elevators,tactile strips,ADA platform boarding area",Three new elevators. Park Slope station.
243,Church Av,Brooklyn,40.644041,-73.979678,243,F27,F G,6th Av - Culver,IND,Subway,accessible,2025,"Governor Hochul press release, 2025",2020-2024 MTA Capital Program,,,,,,,elevators,
283,Greenpoint Av,Brooklyn,40.731352,-73.954449,283,G26,G,Crosstown,IND,Subway,accessible,2020,MTA press release: MTA Announces Greenpoint Av G Station Now Fully Accessible; Brooklyn Paper; Wikipedia (Greenpoint Avenue station),2015-2019 MTA Capital Program,,,2018-09,2020-11,23.4,,elevators,"Three elevators: one from mezzanine to street level on eastern side of Manhattan Ave north of Greenpoint Ave, one to each platform. Construction started September 2018, completed late November 2020 (expected December 2020). 29 months to complete. Cost $23.4 million. Second elevator ever installed on the G line."
285,Metropolitan Av,Brooklyn,40.712792,-73.951418,629,G29,G,Crosstown,IND,Subway,accessible,2024,MTA press release,2020-2024 MTA Capital Program,,,,,,,elevators,Six new elevators installed across Metropolitan Av and Lorimer St complex.
335,Borough Hall,Brooklyn,40.693219,-73.989998,620,232,2 3,Clark St,IRT,Subway,accessible,1993,Wikipedia (Borough Hall/Court Street station); MTA key station accessibility records,1982-1991 MTA Capital Program,,,1992,1993,,,elevators,Elevator for 2/3 train platforms located in front of Brooklyn Borough Hall on Joralemon Street. Elevator installation began 1992 as part of MTA plan to make key stations accessible; completed 1993. Single platform elevator shaft connects upper mezzanine with the New Lots-bound platform with a stop for the Manhattan-bound platform. Different from Borough Hall 4/5 (ID 415) which was made accessible in December 2025 with a separate $106 million project.
338,Atlantic Av-Barclays Ctr,Brooklyn,40.684359,-73.977666,617,235,2 3 4 5,Eastern Pky,IRT,Subway,accessible,2012,"Barclays Center arena opening and station overhaul, Wikipedia",MTA Capital Program,,,,2012,77.9,,elevators,"Part of major station overhaul completed 2012 coinciding with Barclays Center arena opening. Eight elevators installed at $77.9M. Cost is for entire complex shared across station IDs 27, 40, 338."
341,Eastern Pkwy-Brooklyn Museum,Brooklyn,40.671987,-73.964375,341,238,2 3,Eastern Pky,IRT,Subway,accessible,2020,"Web search; MTA press materials (made ADA accessible since the pandemic, since 2020)",2020-2024 MTA Capital Program,,,,,,,elevators,"Station made ADA accessible circa 2020, coinciding with early pandemic period. Part of the 2020-2024 MTA Capital Program accessibility investments."
345,Crown Hts-Utica Av,Brooklyn,40.668897,-73.932942,345,250,3 4,Eastern Pky,IRT,Subway,accessible,,Wikipedia (Crown Heights-Utica Avenue station); MTA records,,,,,,,,elevators,"Station is ADA accessible via elevator on north side of Eastern Parkway west of Utica Ave. Two narrow staircases and one elevator connect both platforms to a small upper level mezzanine. Station renovated under 1980-1984 capital plan ($106M UMTA grant in October 1983 for 11 stations including Utica Ave), and again under 1993 capital funding. Exact year of elevator installation is not documented in available sources. Likely installed during 1990s renovations but specific date unverifiable. [CONFIDENCE: LOW]"
356,Church Av,Brooklyn,40.650843,-73.949575,356,244,2 5,Nostrand,IRT,Subway,accessible,2008,Wikipedia (Church Avenue station IND Culver Line); MTA records,2000-2004 MTA Capital Program,,,,2008-07-07,,,elevators,"Three elevators installed during a 2008 renovation, opening July 7, 2008. Station on the IND Culver Line serving F and G trains at Church and McDonald Avenues in Kensington. Note: scaffolded data lists routes as 2/5 Nostrand/IRT, but user specifies F/G Culver/IND. Research covers the IND Culver Line station per user instructions. The IRT Nostrand Avenue Line Church Av (2/5) was separately made accessible in Spring 1999. Different from Church Av B/Q BMT Brighton (ID 44, accessible 2025) and Church Av B/Q (ID 243)."
359,Flatbush Av-Brooklyn College,Brooklyn,40.632836,-73.947642,359,247,2 5,Nostrand,IRT,Subway,accessible,1997,Brooklyn Paper; Wikipedia (elevator originally installed in 1997 as part of MTA ADA compliance),1992-1999 MTA Capital Program,,,,,,,elevators,Terminal station of the 2/5 lines. Elevator installed 1997 as part of MTA ADA key station compliance. Elevator replaced/modernized in 2021.
415,Borough Hall,Brooklyn,40.692404,-73.990151,620,423,4 5,Eastern Pky,IRT,Subway,accessible,2025,"Governor Hochul press release, 2025",2020-2024 MTA Capital Program,,,,,,,elevators,
